ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1695,1.1216,8.2413,-0.1268,0.9321,9.7614,0.1944,0.1743,-1.3064,0.0368,0.0458,0.0592,1,28.99,-12.71,-44.71,253.11,-5.45,0.74,5,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,22,2018-11-12 17:27:47:560
-0.8083,-0.6135,14.2752,0.1213,0.654,9.7841,-0.4416,-1.6403,4.1197,-0.0182,0.0225,0.0241,1,28.76,-12.2,-43.99,256.26,-6.24,-0.41,5,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,1023,2018-11-12 17:27:48:561
0.1526,2.2559,7.6116,0.2037,1.7677,9.6439,-0.0094,0.5119,-1.5926,0.183,0.066,-0.0045,2,27.08,-13.26,-42.05,258.04,-9.54,-1.89,5,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,2022,2018-11-12 17:27:49:560
-1.0442,2.4284,10.0087,-0.2002,1.6162,9.6705,-0.9539,0.9419,0.6011,-0.2084,-0.1294,0.0103,2,26.93,-11.45,-40.26,260.95,-9.49,1.19,5,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,3023,2018-11-12 17:27:50:561
1.6933,0.3084,9.333,1.1259,1.2261,9.6643,-0.1177,-0.5998,-0.0139,-0.0584,0.7043,-0.2888,1,16.11,-12.12,-42.47,256.61,-9.57,-9.25,5,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,4022,2018-11-12 17:27:51:560
-6.9725,4.5867,4.141,-7.1858,6.0307,2.8574,-0.0708,-1.1052,1.6066,0.4221,-0.0508,-0.8367,0,43.14,-16.33,-16.38,347.64,-46.17,63.6,5,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,5022,2018-11-12 17:27:52:560
-10.2163,6.5344,1.3445,-7.5441,5.451,3.0892,-3.0212,1.4212,-1.4004,0.3608,-0.0763,0.0069,0,40.86,-11.08,-27.61,23.6,-32.4,64.28,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,6022,2018-11-12 17:27:53:560
-5.6806,6.2194,2.7722,-6.5865,6.785,2.5985,1.0236,-0.4704,0.3652,-0.997,0.269,0.2613,0,37.78,-21.39,-28.59,27.16,-48.81,65.8,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,7023,2018-11-12 17:27:54:561
-5.2408,9.2804,0.2273,-4.5062,8.7097,-0.067,-1.7631,-0.6829,1.3092,0.613,1.4212,-0.3069,0,27.76,-37.86,-19.35,322.83,-63.19,40.3,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,8022,2018-11-12 17:27:55:560
-3.4767,11.9354,2.4613,-0.462,9.6522,1.6709,-1.6639,3.0053,0.6046,3.0068,0.8067,-0.9921,0,14.13,-40.97,-20.81,308.91,-72.42,7.07,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,9023,2018-11-12 17:27:56:561
-3.8,11.249,0.6829,0.6823,9.4264,2.617,-4.1527,3.5543,-2.4356,-0.8781,-0.3517,0.6566,0,12.97,-41.42,-16.69,324.7,-79.25,14.57,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,10022,2018-11-12 17:27:57:560
-1.7502,6.713,0.086,-1.44,9.5375,1.7697,-0.5402,-1.7688,-1.4483,-1.2307,0.6432,0.573,0,20.11,-41.85,-18.14,75.35,-76.36,101.49,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,11023,2018-11-12 17:27:58:561
-2.3778,7.2028,-0.8308,-1.4561,9.5904,1.4402,-1.142,-1.8414,-2.8828,-0.871,-1.2296,0.5569,0,17.99,-42.68,-18.35,94.74,-75.48,114.05,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,12022,2018-11-12 17:27:59:560
0.7698,8.0387,0.3767,-1.2134,9.7219,0.428,1.9102,-1.1322,-0.2731,-1.3155,-0.3181,0.0826,0,20.33,-45.19,-12.12,104.28,-73.68,130.8,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,13023,2018-11-12 17:28:00:561
1.1472,13.7388,5.5159,-1.1794,9.7334,-0.2022,1.2001,3.8551,2.5872,-0.3769,0.0331,1.093,0,28.48,-42.08,-2.74,90.34,-66.49,133.81,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,14022,2018-11-12 17:28:01:560
-5.1302,8.1764,-7.5662,-3.0159,9.0177,-2.3993,-2.9221,-0.5677,-4.0475,-0.7331,0.0142,0.2469,0,27.43,-41.63,-1.9,96.19,-62.11,128.18,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,15022,2018-11-12 17:28:02:560
0.7848,1.2742,-0.7319,-3.4503,8.606,-3.1943,3.2858,-5.8117,1.0649,-1.1849,0.0596,0.9164,0,28.68,-43.21,-2.8,64.14,-72.33,122.38,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,16022,2018-11-12 17:28:03:560
0.1796,2.8578,0.64,-3.2352,8.7214,-3.105,3.4308,-5.2525,2.6228,1.0072,1.5683,-1.3564,0,24.22,-49.47,-10.35,66.57,-80.44,116.76,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,17022,2018-11-12 17:28:04:560
0.3334,2.1502,1.4499,-3.4343,8.731,-2.8541,3.5965,-5.6601,3.8589,0.6127,2.2389,-1.2876,0,22.62,-53.23,-15.56,87.65,-81.89,127.19,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,18023,2018-11-12 17:28:05:561
-0.5342,10.9385,0.2112,-0.136,9.7303,1.2137,0.843,2.5749,-0.2862,3.1695,0.2736,-1.4441,0,19.6,-50.17,-28.5,300.48,-73.73,-1.76,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,19022,2018-11-12 17:28:06:560
-2.7495,9.5697,0.5161,0.4123,9.5984,1.9676,-2.0405,1.0017,-1.4793,1.2334,-0.1068,-0.3071,0,19.55,-48.37,-30.15,314.04,-76.81,1.29,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,20022,2018-11-12 17:28:07:560
-1.5892,10.3758,1.0677,0.2907,9.3976,2.7875,-2.1067,2.0558,-1.3631,-1.0177,0.0287,0.6601,0,26.29,-46.03,-25.43,330.8,-79.28,24.02,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,21022,2018-11-12 17:28:08:560
-1.0218,8.5947,1.6833,-0.4073,9.3937,2.7862,-0.7551,0.271,-0.7612,-1.0243,-0.1369,0.5759,0,30.21,-43.84,-21.17,348.38,-80.47,45.85,0,0,48.163395,11.558591,594,NaN,1.87,12.864,325.8,0 / 24,22022,2018-11-12 17:28:09:560
