ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-3.9758,-0.8889,12.4952,-1.9938,0.6327,9.581,-1.6612,-1.7117,2.5366,-0.293,-1.2857,-0.0395,11,51.74,-71.63,-84.66,207.05,-3.7,11.76,5,54.24,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 30,8,2018-11-19 08:20:51:029
1.425,4.4109,8.231,0.2711,5.0328,8.4124,0.7796,-0.0934,0.5945,-0.1227,-0.338,-0.4485,5,46.55,-76.29,-82.49,243.76,-30.77,-0.69,5,46.614,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 30,2007,2018-11-19 08:20:53:028
-0.1499,5.9598,8.6046,1.4625,4.8827,8.378,-1.8375,1.0659,0.1695,-0.208,0.2207,0.3027,1,20.2,-49.23,-98.59,276.76,-29.86,-9.9,5,62.6,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 30,4007,2018-11-19 08:20:55:028
-5.2971,6.3053,3.9421,-6.138,7.1968,2.5888,0.1392,-0.0972,1.9939,1.4199,-2.2337,-0.2774,1,20.71,-41.43,-94.22,87.1,-44.02,72.37,0,61.007,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 30,6008,2018-11-19 08:20:57:029
-4.4993,13.1122,4.4734,-3.4872,9.0986,1.1066,2.2183,3.9628,0.5964,-0.2397,-0.391,0.6548,1,12.59,-57.46,-108.05,67.38,-58.87,54.37,0,59.994,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 30,8007,2018-11-19 08:20:59:028
-1.0094,8.7646,0.3299,-0.6022,9.6806,1.4467,-0.0944,-1.1928,-0.3167,-0.8884,-1.1097,0.3453,1,34.15,-73.36,-119.22,83.19,-82.33,94.55,0,59.549,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 30,10007,2018-11-19 08:21:01:028
-1.5642,6.3494,3.6107,0.2708,9.7975,-0.325,0.6383,-0.4528,0.3727,-1.1911,1.8774,0.5895,1,59.41,-82.57,-104.37,133.51,-75.18,156.51,0,55.197,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 30,12008,2018-11-19 08:21:03:029
-2.8299,6.793,-3.2971,-2.0339,9.0338,-3.2287,0.1066,-1.3173,-0.487,-0.3447,0.854,-0.2888,1,-15.54,-80.54,-31.81,175.62,-68.06,145.67,0,50.176,47.849888,12.119202,427,NaN,2.45,18.224,38.7,14 / 29,14007,2018-11-19 08:21:05:028
1.9887,9.7958,-1.0317,1.9444,9.6059,0.3402,0.8057,0.8651,0.397,1.0338,-0.8008,-0.1742,1,-27.05,-83.38,-48.03,325.62,-75.12,-50.07,0,53.075,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,16008,2018-11-19 08:21:07:029
4.2965,7.6237,-2.333,2.5076,9.2262,-2.1816,1.2618,-0.434,0.2415,0.3547,0.638,-0.04,1,13.57,-78.62,-45.78,203.36,-72.61,-129.37,0,44.316,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,18009,2018-11-19 08:21:09:030
2.481,8.4772,0.7639,2.5257,9.4538,0.646,0.2129,-0.0357,0.0867,-0.0971,0.0351,-0.0638,1,23.66,-90.04,-55.33,236.5,-74.45,-80.79,0,39.345,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,20008,2018-11-19 08:21:11:029
1.2762,4.7195,-4.4327,2.8462,8.3421,-4.2987,0.574,-1.7429,0.0395,0.431,0.4773,-0.1555,1,10.75,-80.85,-40.99,191.09,-64.48,-145.83,0,50.047,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,22008,2018-11-19 08:21:13:029
1.6686,8.4502,0.1618,2.4276,9.4475,1.0108,-0.9541,0.2479,0.0192,-0.409,-0.5171,0.2401,1,2.66,-117.88,-53.56,252.11,-77.43,-77.6,0,46.96,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,24008,2018-11-19 08:21:15:029
3.7949,8.2696,-2.0373,2.2704,9.3574,-1.8588,-0.0044,-0.1416,-0.3462,-0.1596,-0.7545,-0.3463,1,17.58,-126.76,-75.52,206.51,-71.34,-127.81,0,45.374,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,26007,2018-11-19 08:21:17:028
3.2042,4.4654,-1.0098,2.0004,9.6005,0.0068,0.7738,3.3416,-2.7909,-0.3249,-1.1023,0.0415,1,-35.97,-103.78,-84.64,273,-77.33,-95.22,0,50.122,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,28008,2018-11-19 08:21:19:029
-1.5944,7.8733,-3.5702,-0.1661,9.1099,-3.6266,-1.0651,0.3411,-0.355,-0.1264,-1.0152,-0.0061,1,12.65,-87.6,-39.28,168.5,-69.78,179.12,0,52.654,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,30008,2018-11-19 08:21:21:029
-0.3351,7.8452,-4.2318,-0.4112,8.652,-4.5983,0.0634,-0.1318,-0.2156,0.0402,0.1124,-0.034,1,-0.19,-85.55,-37.29,177.03,-62.48,174.18,0,49.955,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,32008,2018-11-19 08:21:23:029
-0.0536,7.9138,-3.4134,-0.3253,8.9875,-3.9102,0.4329,-0.2314,0.5057,-0.1023,0.1733,0.1153,1,12.48,-88.16,-39.99,165.45,-65.54,170.67,0,42.661,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,34008,2018-11-19 08:21:25:029
-0.2335,7.9198,-3.6004,0.0209,9.011,-3.8693,-0.0339,0.0093,-0.0831,-0.0728,-0.0763,0.01,1,10.64,-88.15,-39.13,172.14,-65.68,-178.45,0,49.338,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,36007,2018-11-19 08:21:27:028
0.5457,7.9846,-3.4851,0.5913,9.052,-3.7259,0.2654,0.0291,-0.2053,-0.0205,-0.1667,0.0532,1,7.49,-89.14,-39.47,179.53,-67.82,-170.66,0,51.975,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,38007,2018-11-19 08:21:29:028
0.2948,8.1541,-3.6377,0.618,8.9845,-3.8818,-0.1227,0.0371,0.0505,0.0026,0.0504,0.001,1,8.04,-89.07,-39.27,178.46,-66.25,-171.21,0,56.272,47.849888,12.119202,427,NaN,2.45,18.224,38.7,0 / 29,40008,2018-11-19 08:21:31:029
