ACC X (m/s2),ACC Y (m/s2),ACC Z (m/s2),GRAV X (m/s2),GRAV Y (m/s2),GRAV Z (m/s2),LIN ACC X (m/s2),LIN ACC Y (m/s2),LIN ACC Z (m/s2),GYRO X (rad/s),GYRO Y (rad/s),GYRO Z (rad/s),LIGHT (lux),MAG FIELD X (T),MAG FIELD Y (T),MAG FIELD Z (T),ORIENT Z (deg),ORIENT X (deg),ORIENT Y (deg),PROXIMITY (m),SOUND LEVEL (dB),LOC LAT ,LOC LON,LOC ALT (m),LOC SPEED (Km/h),LOC ACCURACY (m),LOC ORIENT (deg),SAT IN RANGE,TIME (ms),YYYY-MO-DD HH-MI-SS_SSS
0.0034,7.0659,2.2329,0.6858,9.0138,3.8014,-0.384,-1.021,1.4698,0.2514,0.1639,0.2165,0,33.5,-92.84,-94.74,303.38,-63.77,-12.54,5,47.99,48.163433,11.558957,591,2.23,11.792,0,0 / 22,13,2018-11-08 17:58:54:261
0.1325,9.0247,3.1223,0.3592,9.0074,3.8611,-0.2949,1.0702,-0.0647,-0.3931,-0.1387,-0.0504,0,31.85,-92.31,-95.97,320.07,-66.71,-5.32,5,66.995,48.163433,11.558957,591,2.23,11.792,0,0 / 22,2013,2018-11-08 17:58:56:261
2.6532,9.1821,1.7679,0.8374,8.9874,3.8335,0.8663,-0.1038,-1.8458,-0.732,0.2172,-0.2415,0,28.73,-94.61,-94.61,322.07,-58.47,2.33,5,52.535,48.163433,11.558957,591,2.23,11.792,0,0 / 22,4012,2018-11-08 17:58:58:260
-3.3844,5.2324,-5.559,-5.8874,7.378,-2.6598,-3.2002,-0.4819,-2.3648,0.8948,-0.5103,-0.9662,0,43.51,-85.87,-85.3,336.06,-64.18,14.86,5,46.252,48.163433,11.558957,591,2.23,11.792,0,0 / 22,6013,2018-11-08 17:59:00:261
-4.8772,9.0348,5.3482,-5.2766,8.2545,-0.4368,0.3114,-1.0491,0.6683,0.5446,0.4203,-0.2217,0,39.16,-75.13,-108.53,50.95,-55.58,46.72,0,51.313,48.163433,11.558957,591,2.23,11.792,0,0 / 22,8012,2018-11-08 17:59:02:260
-2.594,8.1394,1.2722,-1.8201,9.567,1.153,-1.0576,-0.6401,-0.5062,0.8346,-0.2166,0.0473,0,30.86,-91.8,-98.97,116.6,-65.99,115.85,0,53.849,48.163433,11.558957,591,2.23,11.792,0,0 / 22,10012,2018-11-08 17:59:04:260
-3.1292,7.4592,0.9048,-2.8836,9.3238,-0.9597,2.895,-3.9232,3.2472,-0.2068,-0.7338,0.4205,0,39.08,-93.55,-84.97,129.15,-61.95,134.16,0,53.258,48.163433,11.558957,591,2.23,11.792,0,0 / 22,12012,2018-11-08 17:59:06:260
1.8895,8.182,0.45,-0.4264,9.6972,-1.3977,0.0867,0.9775,0.3344,-1.0318,3.1292,0.1445,0,34.06,-100.01,-87.65,112.17,-81.71,125.3,0,54.166,48.163433,11.558957,591,2.23,11.792,0,0 / 22,14013,2018-11-08 17:59:08:261
-1.9052,10.7429,-3.9571,-1.1076,9.7437,-0.0661,-1.305,0.0417,1.5815,-0.2784,-0.1745,-0.2122,0,43.02,-101.26,-79.79,137.1,-70.04,151.72,0,51.259,48.163433,11.558957,591,2.23,11.792,0,0 / 22,16012,2018-11-08 17:59:10:260
-0.9662,9.1127,0.4955,-0.6684,9.7384,-0.9422,1.3783,2.6011,2.0012,0.4528,1.5672,-0.4597,0,44.35,-102.76,-97.56,5.22,-80.09,28.46,0,55.358,48.163433,11.558957,591,2.23,11.792,0,0 / 22,18012,2018-11-08 17:59:12:260
-2.7804,11.3416,0.2414,0.3486,9.4982,2.4152,-1.541,1.8426,-1.233,-0.81,-0.5828,0.3924,0,37.11,-97.5,-98.67,84.94,-82.14,98.14,0,50.72,48.163433,11.558957,591,2.23,11.792,0,0 / 22,20012,2018-11-08 17:59:14:260
-0.2111,8.6265,0.1755,-0.4185,9.6365,1.7702,-0.948,-0.4463,-0.9161,-0.7579,-0.4119,0.0311,0,36.01,-97.11,-77.53,131.95,-75.2,145.06,0,56.116,48.163433,11.558957,591,2.23,11.792,0,0 / 22,22012,2018-11-08 17:59:16:260
1.059,9.745,-4.2063,-0.1151,9.7829,-0.6716,-0.8301,-0.5237,1.8153,-1.1213,1.3343,0.4099,0,32.9,-99.68,-66.11,159.4,-72.09,178.4,0,55.051,48.163433,11.558957,591,2.23,11.792,0,0 / 22,24013,2018-11-08 17:59:18:261
2.8217,13.151,0.5048,0.2327,9.5269,2.3138,-1.1931,2.1958,-1.8187,2.0721,-0.8752,-1.4268,0,28.1,-98.39,-90.88,4.99,-84.43,21.57,0,55.021,48.163433,11.558957,591,2.23,11.792,0,0 / 22,26012,2018-11-08 17:59:20:260
-0.8676,9.127,1.5391,0.3109,9.6252,1.852,-1.0462,-0.2401,-0.9425,-0.7932,-0.7775,0.3458,0,24.06,-97.92,-87.6,135.21,-75.35,140.19,0,49.091,48.163433,11.558957,591,2.23,11.792,0,0 / 22,28013,2018-11-08 17:59:22:261
-0.1147,8.3019,0.2798,-0.8513,9.753,-0.5702,-1.5795,0.4099,4.0589,-1.3867,-0.5165,1.0924,0,23.94,-99.82,-89.56,114.64,-84,123.81,0,55.254,48.163433,11.558957,591,2.23,11.792,0,0 / 22,30012,2018-11-08 17:59:24:260
-0.3588,8.3316,0.903,0.1128,9.5404,-2.2667,2.4649,-1.0092,-1.0298,1.5181,0.5919,-1.4635,0,29.96,-101.72,-70.68,164.3,-76.62,-177.15,0,56.931,48.163433,11.558957,591,2.23,11.792,0,0 / 22,32013,2018-11-08 17:59:26:261
-2.2141,11.9454,1.008,0.3563,9.4189,2.707,0.4931,1.7297,-1.5651,3.3915,0.2886,-0.4429,0,27.53,-101.2,-81.15,319.89,-73.83,-7.5,0,51.783,48.163433,11.558957,591,2.23,11.792,0,0 / 22,34013,2018-11-08 17:59:28:261
-1.2025,8.2081,0.6979,-0.1776,9.7172,1.3094,-0.5219,-0.4647,-0.4854,-1.3099,-0.3966,0.1686,0,24.55,-99.4,-97.59,352.33,-82.26,7.72,0,52.986,48.163433,11.558957,591,2.23,11.792,0,0 / 22,36013,2018-11-08 17:59:30:261
-0.642,7.0201,6.0409,-1.5511,9.5835,-1.3859,2.099,7.7579,0.5321,-1.082,-0.6733,0.6926,0,34.34,-108.28,-80.18,141.22,-68.84,149.43,0,57.302,48.163433,11.558957,591,2.23,11.792,0,0 / 22,38013,2018-11-08 17:59:32:261
2.2792,13.352,0.6001,-1.8219,9.103,-3.1601,2.1375,-4.3627,1.0434,2.5926,0.133,-0.7592,0,42.12,-107.38,-84.15,138.28,-68.16,150.03,0,54.314,48.163433,11.558957,591,2.23,11.792,0,22-Aug,40012,2018-11-08 17:59:34:260
-0.9199,8.7296,0.8071,0.0943,9.7098,1.3714,-1.0432,-0.2659,-1.242,-0.4914,0.1561,0.2999,0,37.47,-112.46,-83.66,326.62,-81.94,-3.93,0,48.657,48.163433,11.558957,591,2.23,11.792,0,0 / 22,42013,2018-11-08 17:59:36:261
-2.0173,9.2383,3.7124,-0.1766,9.4742,-2.5258,0.4417,2.5591,-0.8211,-0.6525,1.0458,0.4839,0,39.45,-108.22,-77.85,156.18,-75.04,176,0,57.616,48.163433,11.558957,591,2.23,11.792,0,0 / 22,44012,2018-11-08 17:59:38:260
0.0846,7.6498,-4.0882,-1.4394,9.1116,-3.3283,0.3449,-3.9172,3.1201,1.6014,0.0639,-1.5954,0,38.91,-102.2,-65.7,142.09,-68.3,156.61,0,55.283,48.163433,11.558957,591,2.23,11.792,0,0 / 22,46012,2018-11-08 17:59:40:260
0.0097,8.608,1.8061,-0.0924,9.6769,-1.5871,1.7192,4.1478,1.9279,2.25,-0.443,-0.8391,0,33.8,-103.13,-78.37,157.21,-80.67,176.67,0,43.678,48.163433,11.558957,591,2.23,11.792,0,0 / 22,48013,2018-11-08 17:59:42:261
-0.4001,7.8344,0.4146,-0.5386,9.788,-0.2733,-2.5407,2.6935,4.1932,-1.2218,-0.071,0.5173,0,21.78,-97.91,-99.39,107.6,-86.47,116.9,0,58.908,48.163433,11.558957,591,2.23,11.792,0,0 / 22,50012,2018-11-08 17:59:44:260
-3.0832,9.8885,4.4945,-1.5848,9.4684,-2.0018,2.792,4.0426,0.1104,-1.2746,-0.1738,0.3544,0,26.42,-97.06,-91.74,135.67,-74.91,141.63,0,55.502,48.163433,11.558957,591,2.23,11.792,0,0 / 22,52012,2018-11-08 17:59:46:260
-2.5048,12.0645,-7.7531,-1.8757,9.1001,-3.1369,1.1314,-3.7531,0.7862,0.9229,1.5896,-1.1241,0,35.31,-99.72,-80.24,139.86,-68.12,149.12,0,57.757,48.163433,11.558957,591,2.23,11.792,0,0 / 22,54013,2018-11-08 17:59:48:261
-0.1975,8.7079,1.6059,0.1771,9.787,0.5947,-0.7536,1.7582,-0.8074,3.0512,0.2388,-0.7251,0,32.2,-103.9,-89.02,321.08,-86.37,-16.58,0,45.218,48.163433,11.558957,591,2.23,11.792,0,0 / 22,56012,2018-11-08 17:59:50:260
0.0912,8.4466,-0.207,-0.9101,9.695,-1.1615,0.6445,-2.9138,2.7676,-1.0069,0.5933,0.6563,0,31.92,-99.49,-95.81,129.71,-81.35,141.92,0,53.189,48.163433,11.558957,591,2.23,11.792,0,0 / 22,58012,2018-11-08 17:59:52:260
-2.6526,11.2459,-6.3133,-1.7966,9.1549,-3.0217,1.736,-4.0641,1.2489,-0.1909,0.0822,-0.4772,0,38.3,-96.27,-76.42,137.22,-68.99,149.27,0,57.022,48.163433,11.558957,591,2.23,11.792,0,0 / 22,60013,2018-11-08 17:59:54:261
0.0611,10.2787,-1.6215,0.5627,9.6935,1.375,-1.6464,2.0579,-0.601,-0.0238,-0.5294,0.1747,0,30.23,-97.02,-82.95,310.18,-81.29,-22.26,0,47.969,48.163433,11.558957,591,2.23,11.792,0,0 / 22,62013,2018-11-08 17:59:56:261
-2.6914,8.422,1.7533,0.2441,9.6035,1.9706,-1.0478,-0.4663,-0.9182,-0.8417,-0.5336,0.2942,0,24.95,-94.02,-96.19,332.8,-78.32,-7.06,0,49.691,48.163433,11.558957,591,2.23,11.792,0,0 / 22,64012,2018-11-08 17:59:58:260
-2.3546,11.202,-6.3323,-1.599,9.1353,-3.1876,2.3629,-4.1832,1.9779,-1.0548,0.334,0.4774,0,35.81,-94.72,-80.93,141.77,-68.68,153.36,0,52.315,48.163433,11.558957,591,2.23,11.792,0,0 / 22,66013,2018-11-08 18:00:00:261
-0.9588,9.6748,0.727,0.457,9.7804,0.5522,1.1676,2.3347,-1.1522,1.4986,-0.1596,-1.4767,0,34.91,-94.36,-79.57,292.52,-85.81,-39.62,0,54.732,48.163433,11.558957,591,2.23,11.792,0,0 / 22,68012,2018-11-08 18:00:02:260
0.2958,10.3611,1.0143,0.7223,9.5111,2.2776,-0.5112,-0.1517,-1.2442,-0.8555,-1.0529,0.1907,0,21.47,-94.73,-99.01,321.24,-75.9,-17.6,0,50.299,48.163433,11.558957,591,2.23,11.792,0,0 / 22,70013,2018-11-08 18:00:04:261
